source,target,mode,line_id,year
19918,19919,0,2243,1987.0
19919,19918,0,2243,1987.0
19919,19920,0,2243,1987.0
19920,19919,0,2243,1987.0
19920,19921,0,2243,1987.0
19921,19920,0,2243,1987.0
19921,19922,0,2243,1987.0
19922,19921,0,2243,1987.0
19922,19923,0,2243,1987.0
19923,19922,0,2243,1987.0
19923,19924,0,2243,1987.0
19924,19923,0,2243,1987.0
19924,19925,0,2243,1987.0
19925,19924,0,2243,1987.0
19925,19926,0,2243,1987.0
19926,19925,0,2243,1987.0
19926,19927,0,2243,1987.0
19927,19926,0,2243,1987.0
19927,19928,0,2243,1987.0
19928,19927,0,2243,1987.0
19928,19929,0,2243,1987.0
19929,19928,0,2243,1987.0
19929,19930,0,2243,1987.0
19930,19929,0,2243,1987.0
19930,19931,0,2243,1987.0
19931,19930,0,2243,2010.0
19931,19933,0,2243,2010.0
19933,19931,0,2243,1987.0
19933,19934,0,2243,1987.0
19934,19933,0,2243,1987.0
19934,19935,0,2243,1987.0
19935,19934,0,2243,1987.0
19935,19936,0,2243,1987.0
19936,19935,0,2243,1987.0
19936,19937,0,2243,1987.0
19937,19936,0,2243,1987.0
19937,19938,0,2243,1987.0
19938,19937,0,2243,1987.0
19938,19939,0,2243,1987.0
19939,19938,0,2243,2003.0
19939,19940,0,2243,2003.0
19940,19939,0,2243,2003.0
19940,19941,0,2243,2003.0
19941,19940,0,2243,2003.0
19941,19942,0,2243,2003.0
19942,19941,0,2243,2003.0
19942,19943,0,2243,2003.0
19943,19942,0,2243,2003.0
19943,19944,0,2243,2003.0
19944,19943,0,2243,2003.0
19944,19957,0,2243,2003.0
19957,19944,0,2243,2021.0
19957,19958,0,2243,2021.0
19958,19957,0,2243,2015.0
19958,19959,0,2243,2015.0
19959,19958,0,2243,2015.0
19959,19960,0,2243,2015.0
19960,19959,0,2243,2015.0
19930,19931,0,2244,1987.0
19931,19930,0,2244,2010.0
19931,19932,0,2244,2010.0
19932,19931,0,2244,2007.0
19932,19933,0,2244,2007.0
19933,19932,0,2244,1987.0
19933,19934,0,2244,1987.0
19934,19933,0,2244,1987.0
19934,19935,0,2244,1987.0
19935,19934,0,2244,1987.0
19935,19936,0,2244,1987.0
19936,19935,0,2244,1987.0
19936,19937,0,2244,1987.0
19937,19936,0,2244,1987.0
19937,19938,0,2244,1987.0
19938,19937,0,2244,1987.0
19938,19962,0,2244,1987.0
19962,19938,0,2244,2007.0
19962,19963,0,2244,2007.0
19963,19962,0,2244,2012.0
19963,19964,0,2244,2012.0
19964,19963,0,2244,2006.0
19964,19965,0,2244,2006.0
19965,19964,0,2244,1987.0
19965,19966,0,2244,1987.0
19966,19965,0,2244,1987.0
19966,19967,0,2244,1987.0
19967,19966,0,2244,1994.0
19967,19968,0,2244,1994.0
19968,19967,0,2244,1994.0
19968,19969,0,2244,1994.0
19969,19968,0,2244,1987.0
19969,19970,0,2244,1987.0
19970,19969,0,2244,1987.0
19970,19971,0,2244,1987.0
19971,19970,0,2244,1987.0
19971,19972,0,2244,1987.0
19972,19971,0,2244,1987.0
19972,19973,0,2244,1987.0
19973,19972,0,2244,1987.0
19973,19974,0,2244,1987.0
19974,19973,0,2244,1987.0
19974,19975,0,2244,1987.0
19975,19974,0,2244,1987.0
19975,19976,0,2244,1987.0
19976,19975,0,2244,1987.0
19976,19977,0,2244,1987.0
19977,19976,0,2244,1998.0
19977,19978,0,2244,1998.0
19978,19977,0,2244,2004.0
19978,19979,0,2244,2004.0
19979,19978,0,2244,2004.0
19979,19980,0,2244,2004.0
19980,19979,0,2244,2004.0
19980,19981,0,2244,2004.0
19981,19980,0,2244,2005.0
19981,19982,0,2244,2005.0
19982,19981,0,2244,2005.0
19982,19983,0,2244,2005.0
19983,19982,0,2244,2005.0
19983,19984,0,2244,2005.0
19984,19983,0,2244,2005.0
19930,19931,0,2245,1987.0
19931,19930,0,2245,2010.0
19931,19932,0,2245,2010.0
19932,19931,0,2245,2007.0
19932,19933,0,2245,2007.0
19933,19932,0,2245,1987.0
19933,19934,0,2245,1987.0
19934,19933,0,2245,1987.0
19934,19935,0,2245,1987.0
19935,19934,0,2245,1987.0
19935,19936,0,2245,1987.0
19936,19935,0,2245,1987.0
19936,19937,0,2245,1987.0
19937,19936,0,2245,1987.0
19937,19961,0,2245,1987.0
19961,19937,0,2245,2012.0
19961,19962,0,2245,2012.0
19962,19961,0,2245,2007.0
19962,19963,0,2245,2007.0
19963,19962,0,2245,2012.0
